Wave,Order,EnemyID,delay
1,0,Minion,0.5
1,1,Minion,0.5
1,2,Minion,0.5
1,3,Minion,0.5
1,4,Minion,0.5
2,0,Minion,0.5
2,1,Minion,0.5
2,2,Minion,0.5
2,3,Minion,0.5
2,4,Minion,0.5
2,5,Minion,0.5
2,6,Minion,0.5
2,7,Minion,0.5
2,8,Minion,0.5
2,9,Minion,0.5
2,10,Minion,0.5
3,0,Spore,0.5
3,1,Spore,0.5
3,2,Minion,0.5
3,3,Minion,0.5
3,4,Minion,0.5
3,5,Minion,0.5
3,6,Minion,0.5
3,7,Minion,0.5
3,8,Minion,0.5
3,9,Minion,0.5
4,0,Slime,0.5
4,1,Slime,0.5
4,2,Minion,0.5
4,3,Minion,0.5
4,4,Minion,0.5
4,5,Minion,0.5
4,6,Minion,0.5
4,7,Minion,0.5
4,8,Minion,0.5
4,9,Minion,0.5
5,0,Minion,0.5
5,1,Instigator,0.5
5,2,Minion,0.5
5,3,Minion,0.5
5,4,Minion,0.5
5,5,Instigator,0.5
5,6,Minion,0.5
5,7,Minion,0.5
5,8,Minion,0.5
5,9,Minion,0.5
5,10,Minion,0.5
5,11,Minion,0.5
5,12,Minion,0.5
5,13,Minion,0.5
6,0,Prowler,0.5
6,1,Spore,0.5
6,2,Spore,0.5
6,3,minion,0.5
6,4,Minion,0.5
6,5,Minion,0.5
6,6,Minion,0.5
6,7,Minion,0.5
7,0,Huge Slime,0.5
7,1,Slime,0.5
7,2,Slime,0.5
7,3,Slime,0.5
8,0,Cloaker,0.5
8,1,Cloaker,0.5
8,2,Spore,0.5
8,3,Spore,0.5
8,4,Spore,0.5
8,5,Minion,0.5
8,6,Minion,0.5
8,7,Minion,0.5
8,8,Minion,0.5
8,9,Minion,0.5
8,10,Minion,0.5
8,11,Minion,0.5
8,12,minion,0.5
9,0,Cloaker,0.5
9,1,Cloaker,0.5
9,2,Cloaker,0.5
9,3,Prowler,0.5
9,4,Instigator,0.5
9,5,Prowler,0.5
9,6,Prowler,0.5
9,7,Instigator,0.5
9,8,Minion,0.5
9,9,Minion,0.5
9,10,Minion,0.5
10,0,Necromoss,0.5
11,0,Gazer,0.5
11,1,Huge Slime,0.5
11,2,Slime,0.5
11,3,Slime,0.5
11,4,Slime,0.5
11,5,Slime,0.5
12,0,Gazer,0.5
12,1,Gazer,0.5
12,2,Cloaker,0.5
12,3,Cloaker,0.5
12,4,Cloaker,0.5
12,5,Cloaker,0.5
12,6,Minion,0.5
12,7,Minion,0.5
12,8,Minion,0.5
12,9,Minion,0.5
12,10,Minion,0.5
12,11,Minion,0.5
12,12,Minion,0.5
12,13,Minion,0.5
12,14,Minion,0.5
12,15,Minion,0.5
13,0,Plate,0.5
13,1,Plate,0.5
13,2,Plate,0.5
13,3,Spore,0.5
13,4,Spore,0.5
13,5,Spore,0.5
13,6,Spore,0.5
13,7,Minion,0.5
13,8,Minion,0.5
13,9,Minion,0.5
13,10,Minion,0.5
13,11,Minion,0.5
13,12,Minion,0.5
13,13,Minion,0.5
13,14,Minion,0.5
13,15,Minion,0.5
13,16,Minion,0.5
13,17,Minion,0.5
13,18,Minion,0.5
14,0,Bulk,0.5
14,1,Bulk,0.5
14,2,Bulk,0.5
14,3,Bulk,0.5
14,4,Minion,0.5
14,5,Minion,0.5
14,6,Minion,0.5
14,7,Minion,0.5
14,8,Minion,0.5
14,9,Minion,0.5
14,10,Minion,0.5
14,11,Minion,0.5
14,12,Minion,0.5
14,13,Minion,0.5
15,0,Hound,0.5
15,1,Bulk,0.5
15,2,Bulk,0.5
15,3,Bulk,0.5
15,4,Bulk,0.5
16,0,Prowler,0.5
16,1,Prowler,0.5
16,2,Prowler,0.5
16,3,Prowler,0.5
16,4,Prowler,0.5
16,5,Instigator,0.5
16,6,Instigator,0.5
16,7,Spore,0.5
16,8,Spore,0.5
16,9,Spore,0.5
16,10,Spore,0.5
16,11,Spore,0.5
16,12,Spore,0.5
16,13,Minion,0.5
16,14,Minion,0.5
16,15,Minion,0.5
16,16,Minion,0.5
16,17,Minion,0.5
16,18,Minion,0.5
16,19,Minion,0.5
16,20,Minion,0.5
16,21,Minion,0.5
17,0,Shade,0.5
17,1,Shade,0.5
17,2,Cloaker,0.5
17,3,Cloaker,0.5
17,4,Cloaker,0.5
18,0,blocker,0.5
18,1,Bulk,0.5
18,2,Bulk,0.5
18,3,Minion,0.5
18,4,Minion,0.5
19,0,Glider,0.5
19,1,Glider,0.5
19,2,Gazer,0.5
19,3,Shade,0.5
19,4,Plate,0.5
19,5,Plate,0.5
19,6,Prowler,0.5
19,7,Prowler,0.5
20,0,Tremor,0.5
20,1,Minion,0.5
20,2,Minion,0.5
20,3,Minion,0.5
20,4,Minion,0.5
20,5,Minion,0.5
20,6,Minion,0.5
20,7,Minion,0.5
20,8,Minion,0.5
